cpu_usage0,cpu_usage1,cpu_usage2,cpu_usage3,cpu_usage4,cpu_usage5,cpu_usage6,cpu_usage7,cpu_usage8,cpu_usage9,cpu_usage10,cpu_usage11,mem_usage
0.00,0.00,0.00,2.00,3.00,4.00,0.00,3.00,1.00,2.00,0.00,0.00,32.05
0.00,2.00,3.00,0.00,25.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,31.91
